customerNumber,checkNumber,paymentDate,amount
189,BO711618,2004-10-03,18971.96
189,NM916675,2004-03-01,38784.47
198,FI192930,2004-12-06,11528.53
198,HQ920205,2003-07-06,7277.35
198,IS946883,2004-09-21,7673.38
201,DP677013,2003-10-20,26797.21
201,OO846801,2004-06-15,50408.25
202,HI358554,2003-12-18,38662.21
202,IQ627690,2004-11-08,36576.71
204,GC697638,2004-08-13,52505.36
204,IS150005,2004-09-24,4692.6
205,GL756480,2003-12-04,4512.48
205,LL562733,2003-09-05,55776.12
205,NM739638,2005-02-06,44273.36
209,ED520529,2004-06-21,5416.9
209,PH785937,2004-05-04,39341.23
211,BJ535230,2003-12-09,48784.36
216,BG407567,2003-05-09,4219.2
216,ML780814,2004-12-06,21249.77
216,MM342086,2003-12-14,44009.31
219,BN17870,2005-03-02,3987.2
219,BR941480,2003-10-18,5142.15
227,MQ413968,2003-10-31,40321.61
227,NU21326,2004-11-02,60273.94
233,II180006,2004-07-01,24564.53
233,JG981190,2003-11-18,15947.29
239,NQ865547,2004-03-15,87489.23
240,IF245157,2004-11-16,51334.16
240,JO719695,2004-03-28,26906.68
242,AF40894,2003-11-22,38098.24
242,HR224331,2005-06-03,15139.12
242,KI744716,2003-07-21,17251.08
249,IJ399820,2004-09-19,38039
249,NE404084,2004-09-04,56078.26
250,EQ12267,2005-05-17,20321.53
250,HD284647,2004-12-30,32623.93
250,HN114306,2003-07-18,25624.88
256,EP227123,2004-02-10,5759.42
256,HE84936,2004-10-22,59074.88
259,EU280955,2004-11-06,68943.4
259,GB361972,2003-12-07,31363.18
260,IO164641,2004-08-30,43332.35
260,NH776924,2004-04-24,31302.5
276,EM979878,2005-02-09,29852.17
276,KM841847,2003-11-13,41791.95
276,LE432182,2003-09-28,47191.76
276,OJ819725,2005-04-30,35160.25
278,BJ483870,2004-12-05,41696.69
278,GP636783,2003-03-02,56181.32
278,NI983021,2003-11-24,40077.71
282,IA793562,2003-08-03,28397.26
282,JT819493,2004-08-02,41297.14
282,OD327378,2005-01-03,37905.15
286,DR578578,2004-10-28,54251.66
286,KH910279,2004-09-05,48828.72
298,AJ574927,2004-03-13,50432.55
298,LF501133,2004-09-18,67281.01
299,AD304085,2003-10-24,45078.76
299,NR157385,2004-09-05,34145.47
311,DG336041,2005-02-15,49055.4
311,FA728475,2003-10-06,37501.58
311,NQ966143,2004-04-25,17813.4
314,LQ244073,2004-08-09,47760.48
314,MD809704,2004-03-03,18800.09
319,HL685576,2004-11-06,46873.04
319,OM548174,2003-12-07,38682.95
320,GJ597719,2005-01-18,11021.3
320,HO576374,2003-08-20,45738.39
320,MU817160,2003-11-24,52191.44
321,DJ15149,2003-11-03,95678.88
321,LA556321,2005-03-15,54203.62
323,AL493079,2005-05-23,39267.74
323,ES347491,2004-06-24,40034.67
323,HG738664,2003-07-05,2476.8
323,PQ803830,2004-12-24,43930.62
324,DQ409197,2004-12-13,13739.9
324,FP443161,2003-07-07,32376.29
324,HB150714,2003-11-23,42688.31
328,EN930356,2004-04-16,8722.12
328,NR631421,2004-05-30,27987.07
333,HL209210,2003-11-15,27098.8
333,JK479662,2003-10-17,10640.29
333,NF959653,2005-03-01,21730.03
334,CS435306,2005-01-27,51373.49
334,HH517378,2003-08-16,31569.43
334,LF737277,2004-05-22,31018.23
339,AP286625,2004-10-24,27445.31
339,DA98827,2003-11-28,40061.66
344,AF246722,2003-11-24,34311.35
344,NJ906924,2004-04-02,15330.7
347,DG700707,2004-01-18,23889.32
347,LG808674,2003-10-24,24159.14
350,BQ602907,2004-12-11,20136.86
350,CI471510,2003-05-25,52481.84
350,OB648482,2005-01-29,2317.44
353,CO351193,2005-01-10,48895.59
353,ED878227,2003-07-21,15146.32
353,GT878649,2003-05-21,18971.96
353,HJ618252,2005-06-09,52029.07
357,AG240323,2003-12-16,23294.8
357,NB291497,2004-07-01,41418.55
362,FP170292,2004-07-11,19548.35
362,OG208861,2004-09-21,15344.64
363,HL575273,2004-11-17,55570.6
363,IS232033,2003-01-16,12133.25
363,PN238558,2003-12-05,63981.45
379,CA762595,2005-02-12,31474.78
379,FR499138,2003-09-16,34992.4
379,GB890854,2004-08-02,15110.8
381,BC726082,2004-12-03,13463.48
381,CC475233,2003-04-19,1711.26
381,GB117430,2005-02-03,16628.16
381,MS154481,2003-08-22,1637.2
382,CC871084,2003-05-12,38629.14
382,CT821147,2004-08-01,6693.28
382,PH29054,2004-11-27,37353.16
385,BN347084,2003-12-02,22841.96
385,CP804873,2004-11-19,15928.75
385,EK785462,2003-03-09,55245.02
386,DO106109,2003-11-18,44669.74
386,HG438769,2004-07-18,56421.65
398,AJ478695,2005-02-14,38191.39
398,DO787644,2004-06-21,25928.75
398,KB54275,2004-11-29,44802.04
406,HJ217687,2004-01-28,51172.65
406,"NA197101",2004-06-17,27931.21
412,GH197075,2004-07-25,35911.81
412,PJ434867,2004-04-14,36409.31
415,ER54537,2004-09-28,34993.92
424,KF480160,2004-12-07,27733.04
424,LM271923,2003-04-16,24777.41
424,OA595449,2003-10-31,25284.75
447,AO757239,2003-09-15,7600.12
447,ER615123,2003-06-25,20350.95
447,OU516561,2004-12-17,29343.35
448,EQ620556,2003-11-06,48710.92
448,FS299615,2005-04-18,31606.72
448,KR822727,2004-09-30,53941.69
450,EF485824,2004-06-21,64600.34
452,ED473873,2003-11-15,28550.59
452,FN640986,2003-11-20,14938.15
452,HG635467,2005-05-03,8775.16
455,HA777606,2003-12-05,42498.76
455,IR662429,2004-05-12,36973.31
456,GJ715659,2004-11-13,31446.15
456,MO743231,2004-04-30,1698.78
458,DD995006,2004-11-15,34546.6
458,"NA377824",2004-02-06,24995.47
458,OO606861,2003-06-13,61073.21
462,ED203908,2005-04-15,37557.7
462,GC60330,2003-11-08,11861.69
462,PE176846,2004-11-27,49504.38
471,AB661578,2004-07-28,12334.82
471,CO645196,2003-12-10,37878.55
473,LL427009,2004-02-17,7278.98
473,PC688499,2003-10-27,21672.93
475,JP113227,2003-12-09,8234.56
475,PB951268,2004-02-13,37850.08
484,GK294076,2004-10-26,3220.88
484,JH546765,2003-11-29,51502.74
486,BL66528,2004-04-14,7287.24
486,HS86661,2004-11-23,48996.1
486,JB117768,2003-03-20,27398.82
487,AH612904,2003-09-28,34100.03
487,PT550181,2004-02-29,16118.48
489,OC773849,2003-12-04,27541.82
489,PO860906,2004-01-31,8477.22
495,BH167026,2003-12-26,63730.78
495,FN155234,2004-05-14,7129
496,EU531600,2005-06-25,34332.29
496,MB342426,2003-07-16,37754.33
496,MN89921,2004-12-31,58593.28
496,PL783960,2003-11-29,26421.24
